time_s,angle_deg,angular_vel_dps,pid_output,setpoint
0.6900,0.5701,-2.5508,-0.0940,0.0000
0.7000,0.5457,-2.4416,-0.0899,0.0000
0.7100,0.5223,-2.3370,-0.0861,0.0000
0.7200,0.5000,-2.2370,-0.0824,0.0000
0.7300,0.4786,-2.1412,-0.0789,0.0000
0.7400,0.4581,-2.0495,-0.0755,0.0000
0.7500,0.4385,-1.9617,-0.0723,0.0000
0.7600,0.4197,-1.8777,-0.0692,0.0000
0.7700,0.4017,-1.7973,-0.0662,0.0000
0.7800,0.3845,-1.7203,-0.0634,0.0000
0.7900,0.3680,-1.6466,-0.0607,0.0000
0.8000,0.3523,-1.5761,-0.0581,0.0000
0.8100,0.3372,-1.5086,-0.0556,0.0000
0.8200,0.3227,-1.4440,-0.0532,0.0000
0.8300,0.3089,-1.3822,-0.0509,0.0000
0.8400,0.2957,-1.3230,-0.0487,0.0000
0.8500,0.2830,-1.2663,-0.0467,0.0000
0.8600,0.2709,-1.2121,-0.0447,0.0000
0.8700,0.2593,-1.1602,-0.0427,0.0000
0.8800,0.2482,-1.1105,-0.0409,0.0000
0.8900,0.2376,-1.0629,-0.0392,0.0000
0.9000,0.2274,-1.0174,-0.0375,0.0000
0.9100,0.2177,-0.9738,-0.0359,0.0000
0.9200,0.2083,-0.9321,-0.0343,0.0000
0.9300,0.1994,-0.8922,-0.0329,0.0000
0.9400,0.1909,-0.8540,-0.0315,0.0000
0.9500,0.1827,-0.8174,-0.0301,0.0000
0.9600,0.1749,-0.7824,-0.0288,0.0000
0.9700,0.1674,-0.7489,-0.0276,0.0000
0.9800,0.1602,-0.7169,-0.0264,0.0000
0.9900,0.1534,-0.6862,-0.0253,0.0000
1.0000,0.1468,-0.6568,-0.0242,0.0000
1.0100,0.1405,-0.6286,-0.0232,0.0000
1.0200,0.1345,-0.6017,-0.0222,0.0000
1.0300,0.1287,-0.5760,-0.0212,0.0000
1.0400,0.1232,-0.5513,-0.0203,0.0000
1.0500,0.1179,-0.5277,-0.0194,0.0000
1.0600,0.1129,-0.5051,-0.0186,0.0000
1.0700,0.1081,-0.4835,-0.0178,0.0000
1.0800,0.1034,-0.4627,-0.0170,0.0000
1.0900,0.0990,-0.4429,-0.0163,0.0000
1.1000,0.0948,-0.4240,-0.0156,0.0000
1.1100,0.0907,-0.4058,-0.0149,0.0000
1.1200,0.0868,-0.3884,-0.0143,0.0000
1.1300,0.0831,-0.3718,-0.0137,0.0000
1.1400,0.0795,-0.3559,-0.0131,0.0000
1.1500,0.0761,-0.3406,-0.0125,0.0000
1.1600,0.0729,-0.3260,-0.0120,0.0000
1.1700,0.0698,-0.3121,-0.0115,0.0000
1.1800,0.0668,-0.2987,-0.0110,0.0000
1.1900,0.0639,-0.2859,-0.0105,0.0000
1.2000,0.0612,-0.2737,-0.0101,0.0000
1.2100,0.0585,-0.2620,-0.0097,0.0000
1.2200,0.0560,-0.2507,-0.0092,0.0000
1.2300,0.0536,-0.2400,-0.0088,0.0000
1.2400,0.0513,-0.2297,-0.0085,0.0000
1.2500,0.0491,-0.2199,-0.0081,0.0000
1.2600,0.0470,-0.2105,-0.0078,0.0000
1.2700,0.0450,-0.2015,-0.0074,0.0000
1.2800,0.0431,-0.1928,-0.0071,0.0000
1.2900,0.0413,-0.1846,-0.0068,0.0000
1.3000,0.0395,-0.1767,-0.0065,0.0000
1.3100,0.0378,-0.1691,-0.0062,0.0000
1.3200,0.0362,-0.1619,-0.0060,0.0000
1.3300,0.0346,-0.1549,-0.0057,0.0000
1.3400,0.0331,-0.1483,-0.0055,0.0000
1.3500,0.0317,-0.1419,-0.0052,0.0000
1.3600,0.0304,-0.1359,-0.0050,0.0000
1.3700,0.0291,-0.1300,-0.0048,0.0000
1.3800,0.0278,-0.1245,-0.0046,0.0000
1.3900,0.0266,-0.1191,-0.0044,0.0000
